Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
52,52,0,378334,0,714.0,2120514.0,2,1,0,35695.3,17.0,12,0,75335,413402.0,0.0,0.0
53,53,1,194942,0,742.0,1212238.0,1,1,0,25254.99,27.0,13,1,176396,339834.0,1.0,0.0
54,54,0,731566,0,705.0,1377443.0,10,0,0,13429.96,20.0,18,0,563008,1070432.0,0.0,0.0
55,55,0,156772,0,748.0,1411966.0,6,0,2,22591.38,18.0,10,0,38456,251548.0,0.0,0.0
56,56,1,78738,0,6240.0,536370.0,2,1,1,14034.92,10.0,14,0,138586,266112.0,0.0,0.0
57,57,0,453464,0,712.0,895147.0,3,1,0,17007.85,14.0,12,1,137845,222926.0,1.0,0.0
58,58,0,595672,0,685.0,1305927.0,10,1,0,13603.43,25.0,8,0,108148,129624.0,0.0,0.0
59,59,0,166672,0,705.0,1048667.0,10,0,0,16166.91,16.0,10,0,167656,267014.0,0.0,0.0
60,60,0,132792,0,751.0,668990.0,4,1,1,6132.25,14.0,5,0,61199,214742.0,0.0,0.0
61,61,1,119504,0,745.0,938315.0,2,0,7,11807.17,13.0,11,0,32300,104170.0,0.0,0.0
62,62,0,33022,0,723.0,1673007.0,7,1,0,25234.47,23.0,13,0,125609,323928.0,0.0,0.0
63,63,0,448976,0,742.0,4071396.0,10,0,0,10348.16,19.0,7,0,486001,1253340.0,0.0,0.0
64,64,0,280588,0,717.0,671080.0,3,1,0,17447.89,10.0,10,1,168169,470360.0,1.0,0.0
65,65,1,556336,1,714.0,1402960.0,10,0,0,19524.4,19.0,5,0,317338,389246.0,0.0,0.0
66,66,0,541310,0,722.0,1682982.0,1,0,0,52733.36,17.0,13,0,356288,619432.0,0.0,0.0
67,67,0,311872,1,680.0,1063810.0,6,0,0,28191.06,12.0,10,0,391723,591338.0,0.0,0.0
68,68,0,340604,1,618.0,928701.0,10,0,0,21205.52,14.0,5,0,291137,368808.0,0.0,0.0
69,69,1,765160,1,719.0,2643242.0,7,0,0,34582.47,20.0,19,0,249755,489302.0,0.0,0.0
70,70,1,109802,0,745.0,474069.0,0,1,0,1497.39,11.0,2,0,91048,186604.0,0.0,0.0
71,71,1,349756,1,737.0,2491945.0,3,1,0,23258.28,21.0,7,0,270332,660396.0,0.0,0.0
72,72,0,545886,0,718.0,1565182.0,7,1,0,41477.0,15.0,16,0,80465,296714.0,0.0,0.0
73,73,0,354046,1,676.0,1815469.0,10,0,2,5522.16,13.0,6,0,20976,70840.0,0.0,0.0
74,74,0,472098,1,692.0,2316575.0,10,1,0,24517.22,28.0,9,0,454176,968506.0,0.0,0.0
75,75,1,86174,0,7210.0,837311.0,1,0,0,10884.91,13.0,15,0,360867,671770.0,0.0,0.0
76,76,1,509586,1,678.0,1816001.0,2,1,0,26180.67,13.0,32,1,115672,319638.0,1.0,0.0
77,77,0,218988,0,740.0,775409.0,4,0,0,8141.88,14.0,5,0,100206,186230.0,0.0,0.0
78,78,0,328262,0,746.0,1133958.0,1,1,0,20411.32,10.0,10,0,229463,472758.0,0.0,0.0
79,79,1,663168,1,732.0,1527296.0,2,0,0,22145.83,17.0,8,0,331075,543774.0,0.0,0.0
80,80,0,133078,0,709.0,804460.0,0,1,0,9117.34,12.0,10,0,111568,243760.0,0.0,0.0
81,81,0,752290,1,649.0,2320375.0,3,1,0,39252.86,13.0,13,0,431053,513502.0,0.0,0.0
82,82,0,262724,1,695.0,1229072.0,4,1,0,21508.76,21.0,5,0,337725,394218.0,0.0,0.0
83,83,0,54076,0,744.0,485697.0,1,1,0,2655.06,9.0,6,0,19988,282260.0,0.0,0.0
84,84,1,552882,1,686.0,1262151.0,10,1,0,23770.71,23.0,13,0,299706,694056.0,0.0,0.0
85,85,1,402534,0,741.0,3090160.0,9,1,0,23639.8,19.0,15,0,691467,1332188.0,0.0,0.0
86,86,1,232716,0,637.0,1049427.0,5,1,2,12942.99,9.0,20,0,226442,389026.0,0.0,0.0
87,87,0,286462,1,719.0,1380426.0,10,0,0,27378.62,15.0,10,0,177916,335522.0,0.0,0.0
88,88,0,223256,0,740.0,804916.0,7,0,0,6774.64,34.4,13,0,308142,587818.0,0.0,0.0
89,89,0,348832,1,704.0,497306.0,0,1,0,3257.36,13.0,4,0,90022,167860.0,0.0,0.0
90,90,0,537878,0,743.0,1296807.0,1,0,0,24963.53,18.0,12,0,249223,515306.0,0.0,0.0
91,91,0,196460,0,746.0,942590.0,2,0,0,15160.1,23.0,8,0,138700,410718.0,0.0,0.0
92,92,0,214786,0,723.0,883329.0,9,0,0,11924.97,14.0,5,0,154755,193314.0,0.0,0.0
93,93,0,109538,0,697.0,567606.0,7,0,0,5770.68,14.0,10,0,86716,151206.0,0.0,0.0
94,94,0,117986,0,694.0,1886890.0,5,1,0,3207.77,12.0,7,0,80408,351296.0,0.0,0.0
95,95,0,133804,0,725.0,1386734.0,4,0,4,16756.48,13.0,11,0,105450,260898.0,0.0,0.0
96,96,0,87846,0,736.0,625879.0,4,2,0,6988.96,50.1,16,0,96330,714978.0,0.0,0.0
97,97,1,332684,1,722.0,881087.0,10,0,0,12702.26,14.0,9,0,472226,640266.0,0.0,0.0
98,98,0,190498,0,706.0,892164.0,1,1,0,8996.12,13.0,6,0,88160,117744.0,0.0,0.0
99,99,0,448822,0,741.0,1027444.0,1,0,0,21576.4,33.1,8,0,669028,981838.0,0.0,0.0
100,100,0,229086,0,715.0,787626.0,8,1,0,6543.79,23.0,7,1,71231,152460.0,1.0,0.0
101,101,1,393558,1,678.0,2317392.0,2,2,0,22015.3,14.0,8,0,124184,145552.0,0.0,0.0
102,102,0,151954,0,707.0,562419.0,7,1,0,14341.77,12.0,9,1,107692,219142.0,0.0,1.0
103,103,0,254562,0,738.0,669123.0,6,1,0,13549.66,17.0,13,0,261383,743600.0,0.0,0.0
104,104,1,87912,0,7500.0,960184.0,10,1,0,3432.73,43.3,9,0,86051,301026.0,0.0,0.0
105,105,1,156178,0,716.0,1124040.0,3,1,3,8617.64,12.0,9,5,6194,108790.0,0.0,0.0
106,106,0,645018,1,737.0,2692471.0,10,0,0,40386.97,24.0,21,0,640376,1468302.0,0.0,0.0
107,107,0,605726,0,748.0,3609145.0,10,0,0,43610.7,23.0,10,0,378423,475772.0,0.0,0.0
108,108,1,168300,1,7020.0,688522.0,2,1,1,11762.14,17.0,9,0,128041,273042.0,0.0,0.0
109,109,0,174460,0,723.0,1318429.0,3,2,3,10547.47,15.0,14,0,55176,443586.0,0.0,0.0
110,110,0,768394,1,651.0,1651252.0,2,0,0,19264.67,29.0,6,0,421420,559592.0,0.0,0.0
111,111,0,314226,1,723.0,2638454.0,1,0,1,34959.43,18.0,10,0,662815,969034.0,0.0,0.0
112,112,0,263648,0,736.0,1138518.0,9,1,0,12808.28,15.0,6,1,61788,202092.0,1.0,0.0
113,113,0,716958,0,718.0,1934960.0,9,0,2,31765.72,10.0,9,0,168815,228624.0,0.0,0.0
114,114,1,459602,1,712.0,982870.0,6,0,0,12859.01,15.0,6,0,390621,468204.0,0.0,0.0
115,115,0,405856,1,708.0,1155751.0,10,1,0,32264.85,22.0,13,0,338181,594198.0,0.0,0.0
116,116,1,547580,0,710.0,1125978.0,0,1,0,9758.4,13.0,6,0,435328,790064.0,0.0,0.0
117,117,0,175428,0,698.0,1136238.0,2,1,5,2594.45,30.0,4,0,70832,96470.0,0.0,0.0
118,118,0,234806,1,689.0,866799.0,9,0,0,3676.69,14.0,4,2,86051,167750.0,2.0,0.0
119,119,1,25806,0,685.0,742976.0,8,1,1,6377.16,7.0,5,0,8189,47432.0,0.0,0.0
120,120,0,333124,0,703.0,1300246.0,10,0,0,13110.76,14.0,10,0,173128,384032.0,0.0,0.0
121,121,0,441276,0,747.0,2305669.0,10,0,0,24017.52,17.0,14,0,678851,2245848.0,0.0,0.0
122,122,0,327756,0,707.0,830319.0,5,1,0,9271.81,15.0,6,0,245727,292732.0,0.0,0.0
123,123,0,476586,0,707.0,1403207.0,7,1,0,18241.52,13.0,6,0,91580,214654.0,0.0,0.0
124,124,0,261800,0,738.0,1488536.0,4,1,0,21087.72,16.0,8,0,178220,274780.0,0.0,0.0
125,125,1,433136,1,682.0,1178323.0,9,0,0,17969.44,17.0,16,0,355471,426514.0,0.0,0.0
126,126,1,322124,1,716.0,1020034.0,9,0,0,16915.32,17.0,10,0,205865,341506.0,0.0,0.0
127,127,0,437668,0,749.0,2683693.0,5,0,0,5993.55,21.0,7,0,326496,562584.0,0.0,0.0
128,128,0,377322,0,740.0,1288162.0,0,1,0,17068.08,36.3,8,0,358549,494824.0,0.0,0.0
129,129,0,606122,1,693.0,1395911.0,10,0,0,24079.46,22.0,8,1,168378,332156.0,1.0,0.0
130,130,0,520982,1,724.0,1031111.0,10,1,0,17013.17,15.0,12,0,267976,475178.0,0.0,0.0
131,131,1,304590,0,746.0,1202510.0,1,1,0,28960.18,19.0,9,0,314830,619982.0,0.0,0.0
132,132,1,472362,0,732.0,1075058.0,5,0,0,22218.03,16.0,13,0,392369,542146.0,0.0,0.0
133,133,1,322872,1,7080.0,985245.0,10,0,2,10895.17,17.0,7,0,106894,357698.0,0.0,0.0
134,134,0,149402,0,727.0,841491.0,1,1,0,18723.17,8.0,14,0,163571,539572.0,0.0,0.0
135,135,0,150458,0,737.0,1330513.0,5,0,0,4446.19,13.0,13,0,129827,316492.0,0.0,0.0
136,136,0,341352,1,712.0,751108.0,0,0,0,10327.83,13.0,11,0,81377,110858.0,0.0,0.0
137,137,1,432256,0,737.0,2053216.0,10,0,0,16305.8,17.0,11,0,316331,638088.0,0.0,0.0
138,138,0,301114,1,645.0,825246.0,0,1,0,5948.71,9.0,10,1,59888,372746.0,1.0,0.0
139,139,0,79398,0,718.0,761824.0,2,1,0,13459.03,15.0,13,0,159315,317526.0,0.0,0.0
140,140,0,171842,0,724.0,612199.0,2,1,0,6734.17,11.0,12,0,330714,558228.0,0.0,0.0
141,141,0,329120,1,715.0,1515896.0,5,0,0,21601.48,13.0,19,0,332576,683980.0,0.0,0.0
142,142,0,486288,1,707.0,1654577.0,3,0,0,22612.47,14.0,18,0,407835,821282.0,0.0,0.0
143,143,0,104368,0,691.0,853974.0,1,1,0,22559.08,20.0,10,1,116223,195580.0,1.0,0.0
144,144,0,205854,0,717.0,1898860.0,10,0,0,31647.73,22.0,6,0,195738,251284.0,0.0,0.0
145,145,0,111408,0,733.0,1154592.0,10,1,0,18762.12,20.0,9,0,283936,465674.0,0.0,0.0
146,146,0,284152,0,700.0,1054519.0,10,0,0,15202.66,14.0,12,0,182780,366146.0,0.0,0.0
147,147,1,269170,0,7140.0,1259206.0,10,0,0,15110.51,10.0,9,1,392730,639584.0,1.0,0.0
148,148,0,149116,0,700.0,1380160.0,7,0,2,18171.98,10.0,5,0,95171,112574.0,0.0,0.0
149,149,0,396792,1,731.0,745997.0,10,2,0,7522.29,18.0,11,0,295944,835802.0,0.0,0.0
150,150,0,128832,0,719.0,1483520.0,10,1,0,8381.85,30.0,4,0,36708,64372.0,0.0,0.0
151,151,0,152790,0,743.0,678661.0,10,1,0,4450.94,14.0,5,1,119510,229086.0,0.0,0.0
152,152,1,152966,0,7080.0,1334902.0,4,0,0,10845.96,17.0,13,0,82593,302654.0,0.0,0.0
153,153,1,292292,0,741.0,666805.0,2,1,4,6223.45,15.0,7,0,81016,198352.0,0.0,0.0
154,154,0,449460,1,658.0,1057768.0,3,1,0,19039.71,16.0,8,0,367992,510290.0,0.0,0.0
155,155,0,86724,0,716.0,580469.0,4,0,0,7352.62,4.0,6,0,109687,182226.0,0.0,0.0
156,156,0,763840,0,742.0,1639776.0,10,0,0,23640.18,21.0,9,0,606461,1141800.0,0.0,0.0
157,157,1,83864,0,699.0,564414.0,0,1,0,11711.6,11.0,12,0,18639,107932.0,0.0,0.0
158,158,1,142846,0,750.0,654227.0,10,0,0,16246.71,17.0,9,0,53694,112662.0,0.0,0.0
159,159,1,551980,1,720.0,1906840.0,3,2,20,33528.54,22.0,6,0,334780,441518.0,0.0,0.0
160,160,0,504658,0,685.0,3874100.0,10,1,0,4100.2,16.0,7,0,167827,397408.0,0.0,0.0
161,161,1,177628,1,709.0,843771.0,5,1,0,5027.59,10.0,8,0,94221,172062.0,0.0,0.0
162,162,0,398464,1,715.0,975004.0,10,0,0,15356.37,20.0,13,0,326857,650276.0,0.0,0.0
163,163,0,732028,0,737.0,1724193.0,10,0,0,32041.22,18.0,14,0,628425,1017698.0,0.0,0.0
164,164,0,660132,1,722.0,1634323.0,10,0,0,18931.03,16.0,17,1,452713,927762.0,0.0,1.0
165,165,0,25894,0,748.0,1024727.0,8,1,0,12723.73,10.0,12,0,30590,492008.0,0.0,0.0
166,166,0,77132,0,657.0,2093762.0,5,1,6,47284.16,15.0,13,0,588449,703142.0,0.0,0.0
167,167,0,128634,0,695.0,463657.0,4,0,1,9891.4,8.0,9,0,76133,134178.0,0.0,0.0
168,168,0,429264,0,735.0,1816571.0,8,2,0,34060.73,11.0,20,0,387353,1520398.0,0.0,0.0
169,169,1,427988,1,729.0,1624082.0,10,1,0,3640.78,19.0,5,0,132088,378576.0,0.0,0.0
170,170,0,204248,0,737.0,779893.0,5,0,0,10788.39,23.0,10,0,225663,588522.0,0.0,0.0
171,171,0,653334,0,722.0,2068891.0,10,2,0,29309.21,21.0,9,0,294291,548724.0,0.0,0.0
172,172,0,226336,0,724.0,1409610.0,6,1,0,6331.56,17.0,5,4,79192,230428.0,0.0,4.0
173,173,1,216612,0,722.0,897959.0,7,2,0,19006.65,10.0,14,0,321670,955042.0,0.0,0.0
174,174,1,218130,0,728.0,602832.0,5,0,0,9142.8,17.0,10,0,202616,239888.0,0.0,0.0
175,175,0,431288,0,738.0,1378165.0,10,0,0,33879.85,28.0,15,1,280687,409838.0,1.0,0.0
176,176,0,541794,1,674.0,1538145.0,8,0,1,12766.67,33.7,9,0,300029,557634.0,0.0,0.0
177,177,1,448404,0,746.0,1166220.0,10,0,0,19339.72,14.0,17,0,306907,504064.0,0.0,0.0
178,178,0,117854,0,709.0,848958.0,10,0,0,15069.09,15.0,10,0,404073,609994.0,0.0,0.0
179,179,0,537196,1,654.0,2551643.0,10,0,0,55072.83,27.0,16,0,734597,1466542.0,0.0,0.0
180,180,0,196108,0,715.0,865602.0,10,0,0,11397.34,18.0,11,1,185478,259402.0,1.0,0.0
181,181,0,337656,0,744.0,1205322.0,10,0,0,12254.05,11.0,6,0,41876,119416.0,0.0,0.0
182,182,0,448272,1,716.0,1045285.0,10,0,0,16289.08,23.0,7,0,115558,157432.0,0.0,0.0
183,183,1,63140,0,733.0,233681.0,0,1,0,2122.49,14.0,3,0,58463,119592.0,0.0,0.0
184,184,0,223344,0,719.0,1157328.0,7,1,0,24111.0,17.0,8,0,100624,236830.0,0.0,0.0
185,185,0,436172,1,744.0,1054747.0,4,0,2,13623.76,22.0,19,0,387315,2156110.0,0.0,0.0
186,186,0,157146,0,735.0,678566.0,6,2,0,12610.11,16.0,7,0,116793,426602.0,0.0,0.0
187,187,0,178046,0,716.0,2815781.0,10,0,0,18537.35,22.0,9,0,486248,578666.0,0.0,0.0
188,188,0,430100,0,739.0,1448655.0,10,0,0,23782.11,15.0,13,0,400178,716188.0,0.0,0.0
189,189,0,562760,0,738.0,1263652.0,3,1,0,12426.0,13.0,8,0,478021,684178.0,0.0,0.0
190,190,0,118998,0,686.0,576327.0,10,0,0,10037.7,11.0,11,0,320834,518144.0,0.0,0.0
191,191,1,334356,0,7490.0,1636318.0,2,2,2,25635.75,11.0,15,0,271928,1363098.0,0.0,0.0
192,192,1,224796,0,681.0,573819.0,1,2,4,4925.37,11.0,6,0,115862,296780.0,0.0,0.0
193,193,0,401852,1,725.0,1263785.0,10,0,0,15059.97,15.0,6,1,58482,101376.0,1.0,0.0
194,194,0,273482,1,693.0,1115699.0,10,0,0,13667.27,15.0,6,0,65683,109758.0,0.0,0.0
195,195,0,323708,0,723.0,1640061.0,3,1,0,21047.44,21.0,14,0,546782,924242.0,0.0,0.0
196,196,1,88528,0,696.0,993833.0,2,1,0,2550.94,20.0,11,0,38532,241142.0,0.0,0.0
197,197,0,110902,0,697.0,2202917.0,5,1,0,30290.18,11.0,20,0,104291,377366.0,0.0,0.0
198,198,0,132022,0,727.0,855095.0,7,1,0,14180.08,17.0,10,0,130131,251108.0,0.0,0.0
199,199,0,277948,0,707.0,1118948.0,10,1,0,29465.58,15.0,11,1,66994,129294.0,1.0,0.0
200,200,0,219186,0,748.0,2233697.0,3,0,0,14779.72,20.0,11,0,281618,939708.0,0.0,0.0
201,201,0,178684,0,739.0,1176727.0,2,1,0,19514.14,20.0,11,0,192337,281534.0,0.0,0.0
202,202,0,108526,0,743.0,1312045.0,7,0,3,7380.17,19.0,10,1,71953,108504.0,0.0,0.0
203,203,1,134618,0,746.0,968905.0,0,1,0,16196.74,17.0,17,0,202540,1061170.0,0.0,0.0
204,204,0,94974,0,694.0,301093.0,1,1,0,4842.53,9.0,7,0,162564,341000.0,0.0,0.0
205,205,0,523248,1,668.0,1468662.0,8,2,0,39286.68,14.0,9,0,621585,906466.0,0.0,0.0
206,206,0,588544,1,687.0,1491158.0,5,0,0,15284.36,16.0,17,0,428963,1118722.0,0.0,0.0
207,207,0,391468,0,742.0,629850.0,0,1,0,10025.16,17.0,8,0,57570,169620.0,0.0,0.0
208,208,1,432168,0,7360.0,1343642.0,10,1,0,21386.4,35.0,16,0,351329,799216.0,0.0,0.0
209,209,0,628474,1,676.0,1235741.0,10,0,0,26568.46,26.0,12,0,252871,603702.0,0.0,0.0
210,210,1,513524,1,659.0,1115718.0,4,1,0,28543.7,12.0,11,0,469604,849618.0,0.0,0.0
211,211,1,141636,0,7160.0,1051175.0,1,0,0,13227.04,12.0,12,0,151791,201322.0,0.0,0.0
212,212,0,130328,0,740.0,1707207.0,2,1,5,12647.73,23.0,12,0,445721,757834.0,0.0,0.0
213,213,0,268664,1,718.0,1160178.0,0,1,0,16049.11,13.0,9,0,318839,818576.0,0.0,0.0
214,214,0,334686,0,742.0,963490.0,10,0,0,12284.45,20.0,15,0,406220,863060.0,0.0,0.0
215,215,0,175076,0,742.0,748486.0,8,1,1,7983.8,36.4,7,0,184490,240856.0,0.0,0.0
216,216,1,107712,0,744.0,576688.0,10,1,0,7256.67,13.0,15,0,263321,671572.0,0.0,0.0
217,217,0,155210,0,744.0,1053265.0,6,0,0,17466.51,13.0,8,0,492841,640464.0,0.0,0.0
218,218,0,753610,1,676.0,2212835.0,10,0,0,35221.06,17.0,17,0,579158,1086866.0,0.0,0.0
219,219,0,154748,0,748.0,1603657.0,8,0,1,8539.55,29.0,11,0,9842,1425820.0,0.0,0.0
220,220,1,251416,0,720.0,1057293.0,6,0,5,13480.5,9.0,12,0,138377,222838.0,0.0,0.0
221,221,0,764390,1,705.0,1603220.0,2,0,0,34869.75,30.0,15,0,425448,1089902.0,0.0,0.0
222,222,0,616902,1,647.0,1405772.0,0,2,0,18626.27,17.0,4,0,317338,433818.0,0.0,0.0
223,223,0,170962,0,710.0,598082.0,6,1,0,7426.15,12.0,14,0,117211,622534.0,0.0,0.0
224,224,0,332222,0,746.0,891119.0,3,1,0,11733.07,23.0,9,0,293683,717420.0,0.0,0.0
225,225,0,440132,1,676.0,1292380.0,6,0,0,4157.2,15.0,3,0,150822,219956.0,0.0,0.0
226,226,0,112574,0,729.0,1555416.0,10,3,8,10706.5,13.0,13,0,86507,770440.0,0.0,0.0
227,227,0,88198,0,741.0,825968.0,0,0,0,3407.08,14.0,9,0,112727,725098.0,0.0,0.0
228,228,0,764544,1,703.0,1697859.0,6,0,2,17685.96,25.0,10,1,300789,657118.0,1.0,0.0
229,229,0,224642,0,741.0,1056039.0,2,1,0,14080.33,38.5,7,0,252320,1047200.0,0.0,0.0
230,230,0,446336,1,683.0,1117865.0,7,0,0,7573.59,15.0,4,1,148960,238898.0,1.0,0.0
231,231,1,447656,0,732.0,1585113.0,10,0,0,20342.16,17.0,8,0,309054,503316.0,0.0,0.0
232,232,1,261910,0,675.0,1438509.0,6,2,1,24334.82,15.0,9,1,74214,767272.0,1.0,0.0
233,233,0,146982,0,670.0,981578.0,10,1,0,25030.22,22.0,19,0,532589,828872.0,0.0,0.0
234,234,0,533698,1,699.0,1853298.0,1,1,0,30270.61,21.0,18,0,342209,589644.0,0.0,0.0
235,235,1,563068,1,623.0,2094807.0,0,1,0,35960.92,12.0,17,0,580203,917774.0,0.0,0.0
236,236,0,163482,0,711.0,564756.0,10,1,5,6447.65,12.0,9,0,216809,318186.0,0.0,0.0
237,237,0,173316,0,744.0,954275.0,2,0,0,6457.15,13.0,5,0,327541,780384.0,0.0,0.0
238,238,1,133936,0,639.0,347035.0,1,0,2,6969.39,15.0,10,0,68742,151910.0,0.0,0.0
239,239,0,64526,0,747.0,185782.0,0,1,0,4799.4,10.0,8,0,72257,172128.0,0.0,0.0
240,240,1,47806,0,671.0,835620.0,2,1,3,3070.97,12.0,10,0,48051,60764.0,0.0,0.0
241,241,1,147576,0,748.0,463429.0,2,1,0,8573.56,12.0,20,0,88939,357588.0,0.0,0.0
242,242,0,545160,1,699.0,3954888.0,10,0,0,27881.93,18.0,15,0,163020,215974.0,0.0,0.0
243,243,0,657294,0,691.0,2270652.0,4,1,0,24031.01,11.0,12,0,405327,811998.0,0.0,0.0
244,244,0,43318,0,708.0,897769.0,4,1,1,7391.57,17.0,2,0,3382,4334.0,0.0,0.0
245,245,0,44792,0,723.0,502892.0,7,1,1,7794.75,7.0,9,1,193781,358446.0,0.0,1.0
